"program","willingness_to_pay","government_net_costs","net_income_increase","bafoeg_cost","bafoeg_repayment","program_cost","tax_revenue_increase","education_cost","mvpf","private_safer_traffic_valuation","utility_loss_helmet","helmet_cost","co2_emission_reducation","private_health_cost","value_added_tax_loss","public_health_cost","public_safer_traffic_valuation","earlier_labor_market_participation_net_income","earlier_labor_market_participation_tax_revenue","benefit_receipt","cost_increased_travel_time","private_fuel_cost_saving","energy_tax_loss","local_emission_reduction","fiscal_externality","additional_return_value","program_name","year","category","average_age_beneficiary","short_description","average_earnings_beneficiary","notes","Papers","Links"
"retraining",21978.2070192168,9266.37125568256,21978.2070192168,NA,NA,20983,-11716.6287443174,NA,2.37182457002667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Retraining",1993,"Active Labor Market Policy",31,"Government sponsored training to obtain a new professional degree in a field other than the
profession currently held",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"shortTraining",24607.0241713428,-8761.66767273224,24607.0241713428,NA,NA,4439,-13200.6676727322,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Short Training",1993,"Active Labor Market Policy",34.8,"Government sponsored Training Program lasting less less then 6 months",1396,NA,"Lechner et. al. (2011)","https://ideas.repec.org/a/bla/jeurec/v9y2011i4p742-784.html"
"speedLimitA3",7193239.55439246,4134915.64006545,NA,NA,NA,NA,NA,NA,1.7396339322363,3227180.38547003,NA,NA,1070461.6335,NA,1308577.24147211,NA,-408810.244440041,NA,NA,NA,-5029905.79,6864583.12542242,3235148.64303338,1060920.2,NA,NA,"Speed Limit A3",2015,"Traffic Regulation",NA,"Potential Speed Limit of 130 kmph on German Autobahn A3",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"speedLimitA61",8001849.62712518,8684851.78456951,NA,NA,NA,NA,NA,NA,0.921357073858436,3120354.76523884,NA,NA,2139195.7755,NA,2615044.44907166,NA,-395277.871686477,NA,NA,NA,-13065704.94,13718146.4063863,6465085.20718433,2089857.62,NA,NA,"Speed Limit A61",2015,"Traffic Regulation",NA,"Potential Speed Limit of 130 kmph on German Autobahn A61",NA,NA,"Thiedig (2018)","https://ideas.repec.org/p/zbw/fubsbe/201817.html"
"startupGrant",28869.3039057064,-10024.4513505647,28869.3039057064,NA,NA,10375.9629782254,-20400.4143287901,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Grant",2009,"Active Labor Market Policy",40.969,"The start up Grant is the follow up program to the  bridging allowance ""Überbrückungsgeld"" and start up subsidy ""Existenzgründungszuschuss"" which were replaced in 2006. This subsidy pays the individual unemloyment benefit for 6 months and an additional 300 euros for up to 15 months.",2047.962,NA,"Caliendo et. al. (2016)","https://ideas.repec.org/a/eee/eecrev/v86y2016icp87-108.html"
"startupSubsidy",18469.8767278812,4025.80322457113,18469.8767278812,NA,NA,14108.8509755868,-10083.0477510156,NA,4.58787369813605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Start Up Subsidy",2003,"Active Labor Market Policy",38.86,"The start up subsidy ""Existenzgründungszuschuss"" was a subsidy that was payed for 3 years to start up founders who received unemployment benefits before entering self-employment.",1459.378,NA,"Caliendo & Künn (2011)","https://ideas.repec.org/a/eee/pubeco/v95y2011i3p311-331.html"
"subsidizedJobOpportunities",6478.86976493152,20966.7132400744,6478.86976493152,NA,NA,20910,-362.816457482533,NA,0.309007410496187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-306.103217408109,NA,NA,NA,NA,NA,NA,"Subsidized Job Opportunities",2005,"Active Labor Market Policy",NA,"Similar to  Job Creation Schemes, Subsidized Job Opportunities ""Arbeitsgelegenheiten"" are jobs where the employer receives a subsidy. The focus of subsidized job opportunities lies on reintegration. The amount of subsidy payed to the employer is not fixed and the types of jobs that can be subsizied  is more broad.",NA,NA,"Hohmeyer & Wolff (2010)","https://ideas.repec.org/p/iab/iabdpa/201021.html"
"taxReform1990",1,-0.19240416827853,NA,NA,NA,NA,NA,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19240416827853,NA,"Top Tax Reform 1990",1990,"Top Tax Reform",NA,"In 1990 Germany reduced the top tax rate from 56% to 53%",NA,NA,"Atkinson & Piketty (2010);Gottfried & Schellhorn (2004)","https://ideas.repec.org/p/iaw/iawdip/15.html;https://ideas.repec.org/p/iaw/iawdip/15.html
"
"taxReform2000",1,0.352185678650037,NA,NA,NA,NA,NA,NA,2.83941131233133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.647814321349963,NA,"Top Tax Reform 2000",2000,"Top Tax Reform",NA,"Between 2001 and 2005 Germany reduced the top tax rate from 53% to 42%",NA,NA,"Doerrenberg et. al. (2017);Clementi and Gallegati (2005)","https://ideas.repec.org/a/eee/pubeco/v151y2017icp41-55.html;https://ideas.repec.org/p/arx/papers/physics-0504217.html
"
"testProgram",2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Test Program",1970,"Test Program",50,NA,NA,"Test if everything works as expected","Chuck & Norris (2014);Du und Ich (2012)","https://example.com;https://example.com"
"trainingMeasures",4239.6341822038,-1634.57136358307,4239.6341822038,NA,NA,696,-2330.57136358307,NA,Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Training Measures",2000,"Active Labor Market Policy",37,"Government sponsored short-term training programs ""Trainingsmaßnahmen"", which where introduced again in 1998 after being abolished in 1993",NA,NA,"Biewen et. al. (2014)","https://ideas.repec.org/a/ucp/jlabec/doi10.1086-677233.html"
"trainingVoucher",-5229.55980007585,5104.77057677611,-5229.55980007585,NA,NA,2243.65213352127,2861.11844325484,NA,-1.02444560855829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Training Voucher",2003,"Active Labor Market Policy",39.03,"Training Vouchers ""Bildungsgutscheine"" are awarded to unemployed to allow them to participate in training programs usually lasting between several months and 3 years.",1901.21,NA,"Doerr et. al. (2014);Huber et al. (2018)","https://ideas.repec.org/p/iza/izadps/dp8454.html;https://ideas.repec.org/p/cpr/ceprdp/10650.html"
"tuitionFees",-2895.99045192994,-363.346317103833,-1440.51558844759,NA,NA,3301.96888196726,1372.25907451616,-280.130528137644,7.9703311017801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tuition Fees",2008,"Education",21,"In 2006 and 2007 some German federal states introduced tuition fees of about 1000€ per year. All tuition fees in Germany have since been abolished again. Lower Saxony was the last state to scrap tuition fees in 2015.",NA,NA,"Gorgen & Schienle (2019);Bruckmeier & Wigger (2014)","https://ideas.repec.org/p/arx/papers/1909.08299.html;https://ideas.repec.org/a/eee/ecoedu/v41y2014icp14-23.html"
